player_name,salary,position,team,game,slate_type,player_image,player_id,draftable_id,game_start,updated_at
Max Anderson,4500,QB,WVU,C-C @ WVU,Night,https://dkn.gs/sports/images/cfb/teams/50/7749.png,1592728,43974322,09/05/2026 12:00 PM,2026-09-04T16:50:45Z
Wyatt Walker Brown,4500,QB,WVU,C-C @ WVU,Night,https://dkn.gs/sports/images/cfb/teams/50/7749.png,1658516,43974324,09/05/2026 12:00 PM,2026-09-04T16:50:45Z
John Johnson III,4500,QB,WVU,C-C @ WVU,Night,https://dkn.gs/sports/images/cfb/teams/50/7749.png,1648362,43974326,09/05/2026 12:00 PM,2026-09-04T16:50:45Z
Daniel Kaelin,4500,QB,NEB,OHIO @ NEB,Night,https://dkn.gs/sports/images/cfb/teams/50/7805.png,1508690,43974328,09/05/2026 12:00 PM,2026-09-04T16:50:45Z
Bode Soukup,4500,QB,NEB,OHIO @ NEB,Night,https://dkn.gs/sports/images/cfb/teams/50/7805.png,1508808,43974330,09/05/2026 12:00 PM,2026-09-04T16:50:45Z
Tyler Cherry,4500,QB,IU,UNT @ IU,Night,https://dkn.gs/sports/images/cfb/teams/50/7828.png,1508644,43974332,09/05/2026 12:00 PM,2026-09-04T16:50:45Z
Jacob Bell,4500,QB,IU,UNT @ IU,Night,https://dkn.gs/sports/images/cfb/teams/50/7828.png,1583391,43974334,09/05/2026 12:00 PM,2026-09-04T16:50:45Z
Maverick Geske,4500,QB,IU,UNT @ IU,Night,https://dkn.gs/sports/images/cfb/teams/50/7828.png,1583399,43974336,09/05/2026 12:00 PM,2026-09-04T16:50:45Z
Justyn Martin,4500,QB,OSU,BALL @ OSU,Night,https://dkn.gs/sports/images/cfb/teams/50/7874.png,1384735,43974338,09/05/2026 12:30 PM,2026-09-04T16:50:45Z
Luke Fahey,4500,QB,OSU,BALL @ OSU,Night,https://dkn.gs/sports/images/cfb/teams/50/7874.png,1649755,43974340,09/05/2026 12:30 PM,2026-09-04T16:50:45Z
